VA1,VM1,Sigma1,PM1,VA2,VM2,Sigma2,PM2,StatisticDataT2,L2
0.325483382,0.440052748,1.656661272,273,4.638789654,4.973290443,5.015293598,130,0.052000046,242.1400146
0.325440705,0.439977348,1.661715031,278,4.641492367,4.991798401,5.449757576,129,0.051006079,237.5599976
0.325514644,0.446234882,1.662383199,277,4.626598835,4.983314991,6.192600727,126,0.052000046,241.5500488
0.325693846,0.450612575,1.665548086,277,4.630812645,5.021727562,6.304325581,125,0.052000046,241.75
0.325554907,0.440596074,1.660029769,276,4.657082081,5.006853104,5.401687145,133,0.050994873,238.3399658
0.325576842,0.446697861,1.695913434,275,4.635354519,5.000034332,6.142304897,127,0.051999092,241.9899902
0.325716019,0.443928927,1.676412821,278,4.655112267,4.975176334,5.071708202,136,0.051003933,238.2299805
0.324723899,0.443335623,1.708926201,277,4.60788393,5.005059242,6.923712254,126,0.052002907,240.5800171
0.324944228,0.449442536,1.712476015,277,4.63868618,5.019967556,6.093959808,131,0.05099988,237.4500122
0.324697077,0.44665134,1.704968214,274,4.657844067,4.966708183,4.940258026,143,0.051000118,238.4799805
0.324736387,0.447406232,1.712499738,279,4.623385906,4.98489666,6.16874361,134,0.052002907,241.4000244
0.324864477,0.446651727,1.711760163,277,4.643244743,4.993293285,5.559679985,135,0.051000118,237.710022
0.324740052,0.440547079,1.716914892,277,4.619739056,5.016774178,6.5418396,125,0.051992893,241.1900024
0.325036108,0.452893913,1.726294637,275,4.621945381,4.996623516,6.086608887,133,0.052005053,241.3499756
0.324744374,0.446231604,1.708023906,276,4.646174431,5.006346703,5.612248898,137,0.05099988,237.8599854
0.324925333,0.446660489,1.713850021,277,4.626038551,5.013309479,6.672187805,129,0.052002907,241.5499878
0.324860126,0.44999972,1.713609934,278,4.645488262,5.011437416,5.697885036,133,0.050998926,237.8099976
0.325009942,0.453012019,1.714304566,278,4.617274284,4.97664547,6.164785862,129,0.052000999,241.0700073
0.32483682,0.446692944,1.705938935,278,4.625172615,5.008243084,6.380375862,131,0.052000046,241.5100098
0.324931771,0.446056515,1.704473138,278,4.643944263,4.973314285,5.441987038,136,0.05099988,237.7200317
0.32509774,0.45001629,1.720345974,277,4.629807949,5.013381004,6.20134306,127,0.051000118,236.9599609
0.325112194,0.452731729,1.724663734,276,4.605287552,5.003299713,7.138339996,121,0.051999092,240.4299927
0.324964494,0.443325251,1.707151055,275,4.606155396,4.973408222,6.143864632,131,0.052000046,240.4899902
0.324952841,0.452918291,1.730300188,275,4.650017262,4.986620426,5.383617878,135,0.05099988,238.0699463
0.325061262,0.443326056,1.704208136,278,4.623464584,4.983261585,5.880588055,126,0.051000118,236.6400146
0.325151652,0.453326374,1.736134768,278,4.598206043,4.983301163,7.038894176,120,0.052001953,240.0199585
0.325165421,0.449702382,1.715904951,277,4.595506668,4.993280411,6.997522354,122,0.051995993,239.8900146
0.325009108,0.443511218,1.701315403,277,4.630535603,4.975129128,5.776334286,131,0.051002979,237.0199585
0.32517001,0.449988663,1.705206275,277,4.616566658,5.000219822,7.053314686,123,0.052000046,241.0300293
0.325284272,0.449355423,1.705491066,274,4.61643219,4.981746674,5.85769701,129,0.051998138,241.0400391
0.325160205,0.44999972,1.709272385,279,4.617653847,4.976626396,5.935899734,131,0.052000046,241.0799561
0.325203508,0.446662098,1.70964098,279,4.602004528,5.000117779,6.881366253,121,0.052000046,240.2399902
0.325202614,0.452842206,1.714694262,278,4.611811638,4.998045921,6.780865192,123,0.052004099,240.7700195
0.325322688,0.453326374,1.70552671,272,4.628200531,4.983433723,5.621856213,125,0.052004099,241.6600342
0.325317383,0.447249174,1.712960839,277,4.633775711,4.991807461,5.688141823,129,0.051003933,237.1899414
0.325268507,0.449987143,1.714898825,277,4.639993191,4.996879101,5.674087048,137,0.051003933,237.5300293
0.325269252,0.449994415,1.728096843,278,4.613150597,4.994666576,6.51604414,128,0.051995993,240.8299561
0.325254411,0.453336537,1.724229097,276,4.625302315,4.985081196,5.837983131,125,0.052004099,241.499939
0.325214773,0.446663678,1.703816056,278,4.615423679,5.003569603,6.711322784,126,0.051999092,240.960022
0.325321615,0.446660489,1.712705493,277,4.633076191,4.979982853,5.649457932,132,0.05099988,237.1299438
0.325449169,0.445906758,1.71946013,274,4.626763821,4.966348171,5.756860256,130,0.052000046,241.5699463
0.325289369,0.447256953,1.71115768,278,4.608901978,4.958384037,6.033979416,128,0.051995993,240.5900269
0.325334609,0.449844211,1.73099494,277,4.63672781,4.990072727,5.442102432,135,0.051002979,237.3300171
0.325153023,0.446522325,1.711642861,277,4.618010521,5.01347208,6.699800968,128,0.051995993,241.0900269
0.325315833,0.450010836,1.713572145,278,4.642816544,4.978393078,5.301928043,134,0.051001072,237.6699829
0.325143397,0.439990014,1.708267212,278,4.629796505,5.002943993,6.287429333,132,0.051995993,241.7199707
0.325311542,0.449442536,1.711518168,275,4.662600994,4.983495712,4.77751255,140,0.05099988,238.6999512
0.325433791,0.449547261,1.7116642,277,4.621939659,4.989997864,5.876515865,133,0.052001953,241.2999878
0.325428724,0.450277656,1.721472144,277,4.648130417,4.996625423,5.284135342,135,0.050996065,237.9199829
0.325258106,0.439999372,1.720820665,277,4.650317192,4.966631889,5.267681122,142,0.051003933,238.0599976
0.325398147,0.449366391,1.715161324,275,4.665005684,4.980470181,4.876560688,141,0.05099988,238.8200073
0.325326651,0.440438986,1.714187741,278,4.657198906,4.981478691,5.145398617,142,0.050997019,238.4099731
0.325480014,0.456660032,1.717704654,278,4.606372356,4.986919403,6.569152832,126,0.051995993,240.4799805
0.325322866,0.440581888,1.70772326,277,4.630135059,4.983250141,5.34156847,131,0.05099988,236.9699707
0.325344294,0.446661294,1.711339474,279,4.623847008,4.98335886,5.675541878,132,0.05099988,236.6400146
0.325390011,0.443201602,1.706047416,277,4.610077858,5.000029564,6.597593784,124,0.052000046,240.6699829
0.324954629,0.439537436,1.661441922,278,4.61416769,4.993431568,6.28313303,124,0.052004099,240.8900146
0.325508267,0.446667165,1.726673603,277,4.61379385,4.986636639,6.255600929,129,0.051996946,240.8900146
0.325041562,0.4436571,1.659234405,278,4.639492512,4.993903637,5.428744316,129,0.051002979,237.460022
0.325141042,0.439997792,1.67722559,280,4.66241169,4.993280411,5.079053879,131,0.050997019,238.6499634
0.325467825,0.44707182,1.715660691,278,4.63461256,4.983223438,5.613630295,132,0.051999807,242
0.325089335,0.443733186,1.655422211,279,4.616189003,4.966667652,5.648067474,126,0.051999092,240.9699707
0.325181454,0.450026721,1.663566709,274,4.612627506,4.976575851,6.258098125,110,0.052000046,240.7999878
0.325119555,0.446537316,1.675743222,277,4.617645264,4.986859798,6.287351608,125,0.051999807,241.0700073
0.325127751,0.442722648,1.676382184,276,4.622786522,4.991478443,6.679083347,126,0.052000046,241.3399658
0.325001687,0.446662873,1.668874979,275,4.654881001,4.990007877,4.945101738,138,0.051004171,238.25
0.325014293,0.443755507,1.665943384,279,4.622827053,4.99368906,6.323386669,127,0.052000046,241.3599854
0.325127602,0.440000176,1.660070181,278,4.648264408,5.003369808,5.575333118,136,0.05099988,237.9400024
0.325085223,0.443325251,1.663310885,278,4.624601364,5.0301404,6.58716774,127,0.052000046,241.4299927
0.325097919,0.446663678,1.66555357,279,4.64152813,5.006645203,5.639835835,129,0.051002026,237.5799561
0.325173527,0.44999972,1.66984272,277,4.63476038,5.003186703,5.847720623,131,0.052004099,242
0.325078607,0.442752093,1.660190821,278,4.653693199,4.984993935,4.982833862,139,0.051000118,238.1900024
0.325104445,0.443329901,1.653619885,275,4.661996841,4.985293388,4.751889229,145,0.051002979,238.6300049
0.325029731,0.44017756,1.655019522,278,4.655130386,4.97845459,4.98469305,143,0.051004171,238.2799683
0.325127155,0.443326861,1.657954812,277,4.656718254,4.993209362,5.165187359,135,0.051003933,238.3799438
0.325041443,0.440000176,1.653844714,274,4.597183704,4.98998642,7.161430359,108,0.052000999,239.9400024
0.325151563,0.446086347,1.666838169,278,4.615866661,5.008420467,6.541363239,125,0.052000046,240.9599609
0.325129062,0.443326861,1.666457891,280,4.63598299,4.993427753,5.458858967,130,0.050996065,237.2600098
0.325135648,0.446513593,1.661145687,279,4.630791664,5.016822815,6.312999249,127,0.051999807,241.7800293
0.325325012,0.446813881,1.665952086,278,4.635852814,5.011997223,6.170066357,129,0.051999092,242.0599976
0.325003028,0.437106699,1.657354236,279,4.63501215,5.008090973,6.386271,129,0.052000046,242
0.325085729,0.443858504,1.668116808,278,4.62788868,5.006668091,6.205082417,130,0.051999092,241.5900269
0.325100303,0.442755431,1.661561847,278,4.658332825,4.998379707,5.298518181,140,0.051002979,238.4599609
0.325181454,0.446663678,1.665275693,276,4.656785965,5.009974003,5.207971573,136,0.050995827,238.3500366
0.325020462,0.437244207,1.661524057,276,4.665426731,4.993331909,5.135445595,137,0.051002026,238.8200073
0.325038671,0.446213692,1.664958239,277,4.677880764,5.020215034,4.632752895,138,0.051000118,239.460022
0.325106889,0.439990014,1.665942073,273,4.655714035,5.018690109,5.274899483,126,0.05099988,238.2999878
0.324968576,0.436083883,1.657755375,275,4.602033615,4.971776009,6.821051121,105,0.052000046,240.2000122
0.325123727,0.446041316,1.67557013,277,4.624715805,5.000340462,6.179973125,127,0.051995993,241.4200439
0.325291246,0.446978152,1.671409488,279,4.64223814,4.996701717,5.583244324,129,0.051000118,237.5899658
0.325084507,0.446068347,1.670653224,278,4.658516884,5.018085003,5.70350647,140,0.052000046,243.2600098
0.325271964,0.449812412,1.669729829,279,4.661328793,5.011313915,5.778646469,131,0.051999092,243.4299927
0.325074017,0.443335414,1.656927109,278,4.669694424,4.976614475,4.628547192,146,0.051000834,239.039978
0.325028598,0.436702341,1.666428804,277,4.68329525,5.019936562,5.065849781,145,0.051000118,239.7600098
0.325312436,0.446660489,1.662489653,279,4.678581238,5.023660183,4.817824364,146,0.050998926,239.5100098
0.32507214,0.440146893,1.662985563,277,4.677958012,4.998641491,4.795191765,150,0.051003933,239.4699707
0.32527867,0.440570027,1.66256249,278,4.640180588,5.013102531,5.906679153,135,0.052000046,242.289978
0.325061768,0.437076479,1.662565947,278,4.676845551,4.993303776,5.177072048,146,0.051003933,239.4400024
0.325145215,0.443339616,1.66677916,277,4.680829048,5.010064602,5.180281639,138,0.051000118,239.6399536
0.325161338,0.446676701,1.674833655,274,4.657041073,5.026724815,5.860364437,128,0.051002026,238.3599854
0.325208992,0.440721184,1.669400215,277,4.670874596,5.019957066,5.345625401,136,0.050996065,239.0900269
0.325106263,0.439827055,1.655576825,277,4.674951077,5.003281116,4.9305439,145,0.051004171,239.3300171
0.325153977,0.439962834,1.668084502,276,4.680472374,4.993304729,4.828519344,144,0.05099988,239.6300049
0.325233072,0.443756163,1.673945189,276,4.676097393,5.013451576,5.156181335,149,0.050997019,239.3800049
0.325160474,0.446667135,1.662873983,277,4.69551754,5.035202503,4.76236248,147,0.051000118,240.3800049
0.325306028,0.446065307,1.665637732,276,4.683650017,5.038367271,5.055237293,141,0.05099988,239.7800293
0.325160414,0.439999372,1.657116532,277,4.686751842,5.013324261,4.924585819,146,0.051000118,239.9500122
0.325224131,0.446662873,1.65511179,277,4.683905602,5.033476353,4.908236504,141,0.051000118,239.7800293
0.325193733,0.446662873,1.664967179,278,4.664554119,4.988155842,4.799612999,140,0.051000118,238.7600098
0.325247407,0.44683513,1.673011899,278,4.647855282,4.990169048,5.225955963,138,0.052000999,242.6599731
0.325143695,0.439987898,1.660008192,278,4.642666817,4.990076065,5.271082401,133,0.050998926,237.6099854
0.325052321,0.443335414,1.65847683,278,4.657871246,5.000009537,5.42390728,140,0.05099988,238.4299927
0.325046211,0.439988434,1.665875077,277,4.681415558,4.999957085,4.931968212,147,0.05099988,239.6600342
0.325055301,0.440560341,1.668822765,278,4.674238205,5.003349781,4.869159698,145,0.051000118,239.2600098
